Country,United States,Germany,China,Japan,Korea,Italy,France,Spain,Portugal ,Russia,Bosnia,Serbia ,Croatia 
Language,English,German,Mandarin,Japanese,Korean,Italian,French,Spanish,Portuguese,Russian,Bosnian,Serbian,Coatian
Locale 2 Letter code,US,DE,CN,JP,KR,IT,FR,ES,PT,RU,BA,RS,HR
Locale 4 Letter code,en-US,de-DE,zh-CN,jp-JP,ko-KR,it-IT,fr-FR,es-ES,pt-PT,ru-RU,bs-BA,sr-RS,hr-HR
String ID,,,,,,,,,,,,,
languageswitcher.selectorText,Site Language:,Seitensprache:,网站语言：,サイトの言語:,사이트 언어:,Lingua del sito:,Langue du site:,Idioma del sitio:,Idioma do Site:,Язык сайта:,Jezik stranice:,Jezik sajta:,Jezik stranice:
languageswitcher.languages.us,English,Englisch,英语,英語,영어,Inglese,Anglais,Inglés,Inglês,Английский,Engleski,Engleski,Engleski
languageswitcher.languages.de,German,Deutsch,德语,ドイツ語,독일어,Tedesco,Allemand,Alemán,Alemão,Немецкий,Njemački,Nemački,Njemački
languageswitcher.languages.cn,Chinese,Chinesisch,中文,中国語,중국어,Cinese,Chinois,Chino,Chinês,Китайский,Kineski,Kineski,Kineski
languageswitcher.languages.jp,Japanese,Japanisch,日语,日本語,일본어,Giapponese,Japonais,Japonés,Japonês,Японский,Japanski,Japanski,Japanski
languageswitcher.languages.kr,Korean,Koreanisch,韩语,韓国語,한국어,Coreano,Coréen,Coreano,Coreano,Корейский,Korejski,Korejski,Korejski
languageswitcher.languages.it,Italian,Italienisch,意大利语,イタリア語,이탈리아어,Italiano,Italien,Italiano,Italiano,Итальянский,Italijanski,Italijanski,Talijanski
languageswitcher.languages.fr,French,Französisch,法语,フランス語,프랑스어,Francese,Français,Francés,Francês,Французский,Francuski,Francuski,Francuski
languageswitcher.languages.es,Spanish,Spanisch,西班牙语,スペイン語,스페인어,Spagnolo,Espagnol,Español,Espanhol,Испанский,Španski,Španski,Španjolski
languageswitcher.languages.pt,Portuguese,Portugiesisch,葡萄牙语,ポルトガル語,포르투갈어,Portoghese,Portugais,Portugués,Português,Португальский,Portugalski,Portugalski,Portugalski
languageswitcher.languages.ru,Russian,Russisch,俄语,ロシア語,러시아어,Russo,Russe,Ruso,Russo,Русский,Ruski,Ruski,Ruski
languageswitcher.languages.ba,Bosnian,Bosnisch,波斯尼亚语,ボスニア語,보스니아어,Bosniaco,Bosnien,Bosnio,Bósnio,Боснийский,Bosanski,Bosanski,Bosanski
languageswitcher.languages.rs,Serbian,Serbisch,塞尔维亚语,セルビア語,세르비아어,Serbo,Serbe,Serbio,Sérvio,Сербский,Srpski,Srpski,Srpski
languageswitcher.languages.hr,Croatian,Kroatisch,克罗地亚语,クロアチア語,크로아티아어,Croato,Croate,Croata,Croata,Хорватский,Hrvatski,Hrvatski,Hrvatski
errorPage.heading,Sorry,Entschuldigung,非常抱歉,申し訳ありません,죄송합니다,Spiacenti,Désolé,Lo sentimos,Desculpe,Извините,Žao nam je,Izvinjavamo se,Oprostite
errorPage.subheading,Something went wrong,Etwas ist schief gelaufen,出现了问题,何か問題が発生しました,문제가 발생했습니다,Si è verificato un problema,Quelque chose s'est mal passé,Algo salió mal,Algo deu errado,Что-то пошло не так,Došlo je do greške,Došlo je do greške,Došlo je do pogreške
header.title,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs
footer.title,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs
footer.copyright,Copyright © Compute Labs {{year}},Copyright © Compute Labs {{year}},版权所有 © Compute Labs {{year}},著作権 © Compute Labs {{year}},저작권 © Compute Labs {{year}},Copyright © Compute Labs {{year}},Droits d'auteur © Compute Labs {{year}},Derechos de autor © Compute Labs {{year}},Direitos autorais © Compute Labs {{year}},Авторские права © Compute Labs {{year}},Autorska prava © Compute Labs {{year}},Autorska prava © Compute Labs {{year}},Autorska prava © Compute Labs {{year}}
footer.aboutus.heading,About Us,Über uns,关于我们,私たちについて,회사 소개,Chi siamo,À propos de nous,Sobre nosotros,Sobre nós,О нас,O nama,O nama,O nama
footer.aboutus.mediakit,Media Kit,Mediensatz,媒体工具包,メディアキット,미디어 키트,Kit media,Kit média,Kit de medios,Kit de mídia,Медиа-кит,Medijski paket,Medijski paket,Medijski paket
footer.aboutus.whitepaper,Witepaper,Whitepaper,白皮书,ホワイトペーパー,백서,Whitepaper,Livre blanc,Whitepaper,Whitepaper,Белая книга,Whitepaper,Whitepaper,Whitepaper
footer.aboutus.contact,Contact us,Kontaktieren Sie uns,联系我们,お問い合わせ,문의하기,Contattaci,Contactez-nous,Contáctenos,Contate-nos,Свяжитесь с нами,Kontaktirajte nas,Kontaktirajte nas,Kontaktirajte nas
footer.privacyandterms.privacy,Privacy Policy,Datenschutzrichtlinie,隐私政策,プライバシーポリシー,개인정보 보호정책,Informativa sulla privacy,Politique de confidentialité,Política de privacidad,Política de privacidade,Политика конфиденциальности,Pravila privatnosti,Politika privatnosti,Pravila o privatnosti
footer.social.heading,Social,Sozial,社交,ソーシャル,소셜,Sociale,Réseaux sociaux,Social,Social,Социальные сети,Društvene mreže,Društvene mreže,Društvene mreže
footer.social.medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
footer.social.linkedin,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn,LinkedIn
footer.social.twitter,X,X,X,X,X,X,X,X,X,X,X,X,X
footer.social.telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram
mainFrontPage.topSection.title,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs,Compute Labs
mainFrontPage.topSection.heading,"Financialize AI by enabling direct exposure to compute assets, yield, & derivatives","Finanzialisieren Sie KI, indem Sie direkten Zugang zu Rechenressourcen, Erträgen und Derivaten ermöglichen",通过提供对计算资产、收益和衍生品的直接敞口来金融化人工智能,計算資産、利回り、デリバティブへの直接的なアクセスを可能にすることでAIを金融化,"컴퓨팅 자산, 수익 및 파생 상품에 대한 직접 노출을 통해 AI를 금융화하십시오","Finanziarizzare l'IA consentendo l'accesso diretto alle risorse di calcolo, ai rendimenti e ai derivati","Financiariser l'IA en permettant une exposition directe aux actifs informatiques, aux rendements et aux dérivés","Financiarizar la IA permitiendo el acceso directo a activos de cómputo, rendimientos y derivados","Financeirize a IA permitindo exposição direta a ativos de computação, rendimento e derivativos","Финансируйте ИИ, предоставляя прямой доступ к вычислительным активам, доходности и деривативам","Finansijalizujte AI omogućavajući direktan pristup računarskim sredstvima, prinosima i derivatima","Finansijalizujte AI omogućavanjem direktnog pristupa računarskim sredstvima, prinosima i derivatima","Financijalizirajte AI omogućavanjem izravnog pristupa računalnim sredstvima, prinosima i derivatima"
mainFrontPage.topSection.subheading,Welcome to Compute Labs&#58; Your Gateway to AI Investments,Willkommen bei Compute Labs&#58; Ihr Tor zu KI-Investitionen,欢迎来到 Compute Labs&#58;您的人工智能投资门户,Compute Labsへようこそ&#58; AI投資のゲートウェイ,Compute Labs에 오신 것을 환영합니다&#58; AI 투자로 가는 관문,Benvenuti a Compute Labs&#58; la vostra porta agli investimenti in IA,Bienvenue chez Compute Labs &#58; votre passerelle vers les investissements en IA,Bienvenido a Compute Labs&#58; Su puerta de entrada a inversiones en IA,Bem-vindo ao Compute Labs&#58; Sua Porta de Entrada para Investimentos em IA,Добро пожаловать в Compute Labs&#58; ваш путь к инвестициям в ИИ,Dobrodošli u Compute Labs&#58; Vaša vrata za AI investicije,Dobrodošli u Compute Labs&#58; Vaša kapija za AI investicije,Dobrodošli u Compute Labs&#58;Vaša vrata za AI investicije
mainFrontPage.topSection.button,Pre-sale Live NOW,Vorverkauf JETZT live,预售现已开始,プレセールが今ライブ中,사전 판매 현재 진행 중,Prevendita IN DIRETTA ORA,Prévente en direct MAINTENANT,Preventa EN VIVO AHORA,Pré-venda AO VIVO AGORA,Предпродажа УЖЕ В ЭФИРЕ,Pretprodaja uživo SADA,Pretprodaja uživo SADA,Pretprodaja uživo SADA
mainFrontPage.section2.heading,Compute Tokenization Protocol,Compute-Tokenisierungsprotokoll,计算资产代币化协议,コンピュートトークン化プロトコル,컴퓨트 토큰화 프로토콜,Protocollo di Tokenizzazione del Calcolo,Protocole de Tokenisation de l'Informatique,Protocolo de Tokenización de Computación,Protocolo de Tokenização de Computação,Протокол токенизации вычислительных мощностей,Protokol za tokenizaciju računanja,Protokol za tokenizaciju računanja,Protokol za tokenizaciju računanja
mainFrontPage.section2.subheading,"Compute Tokenization Protocol (CTP) is built to tokenize enterprise grade GPUs. CTP is the foundation to pricing compute assets and enabling trading, staking, and derivatives for this emerging asset class.","Das Compute Tokenization Protocol (CTP) wurde entwickelt, um GPUs in Unternehmensqualität zu tokenisieren. CTP ist die Grundlage für die Preisgestaltung von Rechenressourcen und ermöglicht den Handel, das Staking und Derivate für diese aufstrebende Anlageklasse.",Compute Tokenization Protocol (CTP) 是为企业级GPU进行代币化而构建的。CTP是计算资产定价的基础，并为这一新兴资产类别的交易、质押和衍生品提供支持。,Compute Tokenization Protocol（CTP）は、エンタープライズグレードのGPUをトークン化するために構築されています。CTPは、計算資産の価格設定の基盤となり、この新興資産クラスの取引、ステーキング、およびデリバティブを可能にします。,"Compute Tokenization Protocol (CTP)은 엔터프라이즈급 GPU를 토큰화하기 위해 설계되었습니다. CTP는 컴퓨팅 자산의 가격 책정의 기초를 형성하며, 이 신흥 자산 클래스에 대한 거래, 스테이킹 및 파생상품을 가능하게 합니다.","Il Compute Tokenization Protocol (CTP) è stato creato per tokenizzare le GPU di livello enterprise. CTP è la base per la determinazione del prezzo delle risorse di calcolo e consente il trading, lo staking e i derivati per questa classe di asset emergente.","Le Compute Tokenization Protocol (CTP) est conçu pour tokeniser les GPU de qualité entreprise. CTP est la base pour la tarification des actifs informatiques et permet le trading, le staking et les dérivés pour cette classe d'actifs émergente.","El Compute Tokenization Protocol (CTP) está diseñado para tokenizar GPUs de nivel empresarial. CTP es la base para la fijación de precios de activos de cómputo y permite el trading, staking y derivados para esta clase de activos emergente.","O Compute Tokenization Protocol (CTP) foi criado para tokenizar GPUs de nível empresarial. O CTP é a base para a precificação de ativos de computação e permite negociação, staking e derivativos para essa classe de ativos emergente.","Протокол токенизации вычислений (CTP) создан для токенизации GPU корпоративного уровня. CTP является основой для оценки вычислительных активов и позволяет осуществлять торговлю, стекинг и операции с деривативами для этого нового класса активов.","Compute Tokenization Protocol (CTP) je razvijen za tokenizaciju GPU-ova na nivou preduzeća. CTP je osnova za određivanje cijene računalnih resursa i omogućava trgovanje, staking i derivate za ovu novu klasu imovine.","Compute Tokenization Protocol (CTP) je izgrađen za tokenizaciju enterprise GPU-ova. CTP je osnova za određivanje cene računarskih resursa i omogućava trgovanje, staking i derivate za ovu novu klasu imovine.","Compute Tokenization Protocol (CTP) izgrađen je za tokenizaciju GPU-ova na razini poduzeća. CTP je temelj za određivanje cijena računalnih sredstava i omogućuje trgovanje, staking i derivate za ovu novu klasu imovine."
mainFrontPage.section3.heading,GPU Custody,GPU-Verwahrung,GPU托管,GPU管理,GPU 관리,Custodia delle GPU,Garde des GPU,Custodia de GPU,Custódia de GPUs,Кастодиальное хранение GPU,Skrbništvo nad GPU-ovima,Skrbništvo nad GPU-ovima,Skrbništvo nad GPU-ovima
mainFrontPage.section3.subheading,"Acquire & custody H100s & B200s in T3 data centers and tokenize them into GNFTs – the compute will be further ""restaked"" into (de)centralized compute networks and DePIN projects for yield","Erwerben und verwahren Sie H100s und B200s in T3-Rechenzentren und tokenisieren Sie sie in GNFTs – die Rechenleistung wird weiter in (de)zentralisierte Rechennetze und DePIN-Projekte für Rendite ""restaked"".",在T3数据中心获取并托管H100和B200，并将其代币化为GNFTs——这些计算资源将进一步“再质押”到（去）中心化计算网络和DePIN项目中以获取收益。,H100およびB200をT3データセンターで取得・管理し、それらをGNFTにトークン化します。計算資源はさらに（分）散型計算ネットワークおよびDePINプロジェクトに「再ステーキング」され、利回りが得られます。,"T3 데이터 센터에서 H100 및 B200을 확보하고 관리하며 이를 GNFT로 토큰화합니다. 이러한 컴퓨팅 자원은 수익을 위해 (탈)중앙화 컴퓨팅 네트워크 및 DePIN 프로젝트에 추가로 ""재스테이킹""될 것입니다.","Acquisite e custodite H100 e B200 nei data center T3 e tokenizzatele in GNFT – il calcolo verrà ulteriormente ""ristackato"" in reti di calcolo (de)centralizzate e progetti DePIN per generare rendimenti.","Acquérez et conservez des H100 et B200 dans des centres de données T3 et tokenisez-les en GNFTs – les ressources informatiques seront ensuite ""re-stakées"" dans des réseaux informatiques (dé)centralisés et des projets DePIN pour générer des rendements.","Adquiera y custodie H100s y B200s en centros de datos T3 y tokenícelos en GNFTs: el cómputo se ""restakeará"" en redes de cómputo (des)centralizadas y proyectos DePIN para generar rendimiento.","Adquira e custodie H100s e B200s em data centers T3 e tokenize-os em GNFTs – a computação será ""reestakeada"" em redes de computação (des)centralizadas e projetos DePIN para gerar rendimento.","Приобретайте и храните H100 и B200 в дата-центрах уровня T3 и токенизируйте их в GNFTs – вычислительные мощности будут далее ""рестейкнуты"" в (де)централизованные вычислительные сети и проекты DePIN для получения дохода.","Nabavite i čuvajte H100 i B200 u T3 podatkovnim centrima i tokenizirajte ih u GNFT-ove – računalni kapaciteti će dalje biti ""restakani"" u (de)centralizirane računalne mreže i DePIN projekte za prinose.","Nabavite i čuvajte H100 i B200 u T3 data centrima i tokenizujte ih u GNFT-ove – računska snaga će biti dodatno ""restakovana"" u (de)centralizovane računarske mreže i DePIN projekte za prinose.","Nabavite i čuvajte H100 i B200 u T3 podatkovnim centrima i tokenizirajte ih u GNFT-ove – računalna snaga će se dodatno ""restakati"" u (de)centralizirane računalne mreže i DePIN projekte za prinose."
mainFrontPage.section4.heading,Compute Derivatives,Compute-Derivate,计算衍生品,計算デリバティブ,컴퓨트 파생상품,Derivati del Calcolo,Dérivés de Calcul,Derivados de Cómputo,Derivativos de Computação,Вычислительные деривативы,Računalni derivati,Računski derivati,Računalni derivati
mainFrontPage.section4.subheading,"Expand AI-Fi ecosystem  by introducing derivatives such as GPU ETF, Compute Index, perp, staking & lending, etc, removing the barrier and enabling everyone to participate in AI prosperity","Erweitern Sie das AI-Fi-Ökosystem, indem Sie Derivate wie GPU-ETF, Compute-Index, Perpetual, Staking und Kreditvergabe einführen, um die Barriere zu beseitigen und allen die Teilnahme am AI-Wohlstand zu ermöglichen.",通过引入GPU ETF、计算指数、永久合约、质押和借贷等衍生品，扩展AI-Fi生态系统，消除障碍，让所有人都能参与到AI繁荣中来。,GPU ETF、コンピュートインデックス、パーペチュアル、ステーキング、貸付などのデリバティブを導入することでAI-Fiエコシステムを拡大し、障壁を取り除き、誰もがAIの繁栄に参加できるようにします。,"GPU ETF, 컴퓨트 지수, 무기한 계약, 스테이킹 및 대출과 같은 파생상품을 도입하여 AI-Fi 생태계를 확장하고 장벽을 제거하여 누구나 AI 번영에 참여할 수 있도록 합니다.","Espandete l'ecosistema AI-Fi introducendo derivati come ETF di GPU, Indice di Calcolo, perp, staking e prestiti, rimuovendo le barriere e permettendo a tutti di partecipare alla prosperità dell'IA.","Étendez l'écosystème AI-Fi en introduisant des dérivés tels que des ETF GPU, des indices de calcul, des perpétuels, du staking et des prêts, etc., afin de lever les barrières et permettre à chacun de participer à la prospérité de l'IA.","Expanda el ecosistema AI-Fi introduciendo derivados como ETF de GPU, Índice de Cómputo, perp, staking y préstamos, eliminando la barrera y permitiendo que todos participen en la prosperidad de la IA.","Expanda o ecossistema AI-Fi introduzindo derivativos como ETF de GPU, Índice de Computação, perpétuos, staking e empréstimos, removendo barreiras e permitindo que todos participem da prosperidade da IA.","Расширяйте экосистему AI-Fi, вводя деривативы, такие как GPU ETF, вычислительный индекс, бессрочные контракты, стекинг и кредитование, устраняя барьеры и давая возможность каждому участвовать в процветании ИИ.","Proširite AI-Fi ekosistem uvođenjem derivata poput GPU ETF-a, indeksa računalnih resursa, perpetualnih ugovora, stakinga i pozajmljivanja, uklanjajući prepreke i omogućavajući svima da sudjeluju u prosperitetu AI-a.","Proširite AI-Fi ekosistem uvođenjem derivata kao što su GPU ETF, indeks računanja, perpetual, staking i pozajmljivanje, uklanjajući barijere i omogućavajući svima da učestvuju u prosperitetu AI-a.","Proširite AI-Fi ekosustav uvođenjem derivata kao što su GPU ETF, indeks računalne snage, perp, staking i pozajmljivanje, uklanjajući prepreke i omogućavajući svima sudjelovanje u prosperitetu AI-a."